office,district,effective_date,summary
State Representative,Eighth Bristol,2023-01-04,"The Eighth Bristol State Representative District is located in southeastern Massachusetts and includes portions of Acushnet, Fall River, Freetown, New Bedford, and Westport. The district has a population of 44,541 and is predominantly white (88%). Steven J. Ouellette (Democrat) is the incumbent, having won a close three-way race in 2024 with 40% of the vote."
State Representative,Eighth Essex,2023-01-04,"The Eighth Essex State Representative District is a Massachusetts legislative district covering parts of Lynn, Marblehead, and Swampscott. The incumbent is Jennifer Wb Armini (Democrat from Marblehead), who has held the position since 2022."
State Representative,Eighth Hampden,2023-01-04,"The Massachusetts Eighth Hampden State Representative District encompasses 14 precincts in Chicopee, with a population of 42,710 residents. The current incumbent is Democrat Shirley B. Arriaga from Chicopee, who succeeded longtime representative Joseph F. Wagner in 2022."
State Representative,Eighth Middlesex,2023-01-04,"The Massachusetts Eighth Middlesex State Representative District includes Holliston, Hopkinton, parts of Millis (precincts 2, 3), and Sherborn. The incumbent is Democrat James Arena-DeRosa of Holliston, who was first elected in 2022 and is running unopposed for reelection in 2024."
State Representative,Eighth Norfolk,2023-01-04,"The Eighth Norfolk State Representative District in Massachusetts is currently represented by Democrat Ted Philips of Sharon. The district covers portions of Mansfield, Sharon, Stoughton, and Walpole with a population of approximately 43,000 residents."
State Representative,Eighth Plymouth,2023-01-04,"The Massachusetts Eighth Plymouth State Representative District is currently represented by Democrat Dennis C. Gallagher of Bridgewater, who won the seat in the 2024 election with 51% of the vote over Republican Sandra Wright. The district encompasses parts of Bridgewater and Raynham, with a population of approximately 44,000 residents."
State Representative,Eighth Suffolk,2023-01-04,"The Massachusetts Eighth Suffolk State Representative District is currently represented by Democratic incumbent Jay D. Livingstone of Boston, who has held the seat since winning a special election in 2013. The district is located entirely within Boston, covering portions of the city across 18 precincts. It is a compact urban district with an area of just 1 square mile and a population of 41,784."
State Representative,Eighth Worcester,2023-01-04,"The Massachusetts Eighth Worcester State Representative District is currently represented by Republican Michael J. Soter of Bellingham, who has held the seat since winning election in 2018. The district covers portions of Bellingham, Blackstone, Medway, Millville, and Uxbridge, with a population of approximately 43,499 residents."
State Representative,Eleventh Bristol,2023-01-04,"The Massachusetts Eleventh Bristol State Representative District covers parts of New Bedford and is currently represented by Democratic incumbent Christopher Hendricks of New Bedford. The district has been consistently held by Democrats, with Hendricks winning uncontested elections since 2018."
State Representative,Eleventh Essex,2023-01-04,"The Massachusetts Eleventh Essex State Representative District is located in Lynn and Nahant, with a majority-minority population (63%). The incumbent is Democrat Sean Reid of Lynn, who succeeded Peter L. Capano in 2024."
State Representative,Eleventh Hampden,2023-01-04,"The Massachusetts Eleventh Hampden State Representative District covers sections of Springfield and is currently represented by Democrat Bud L. Williams. The district has a diverse population with 73% minority residents, and Williams has represented the district since 2016, winning his most recent elections with 100% of the vote."
State Representative,Eleventh Middlesex,2023-01-04,"This district is located entirely in Newton, Massachusetts, covering 16 precincts within the city. The current representative is Amy Mah Sangiolo (D-Newton), who won the most recent election in November 2024 with 81% of the vote against Republican challenger Vladislav S. Yanovsky. Prior to Sangiolo, Kay S. Khan (D-Newton) represented the district for many years, often running unopposed."
State Representative,Eleventh Norfolk,2023-01-04,"The Massachusetts Eleventh Norfolk State Representative District is currently represented by incumbent Democrat Paul McMurtry of Dedham, who has held the seat since 2007. The district includes areas of Dedham, Walpole, and Westwood, with a predominantly white population (80%) and covering approximately 26 square miles in the Norfolk County area."
State Representative,Eleventh Plymouth,2023-01-04,"The Massachusetts Eleventh Plymouth State Representative District is located entirely within the city of Brockton, covering 11 precincts. The district is currently represented by incumbent Democratic State Representative Rita A. Mendes of Brockton, who was first elected in 2022 and is running unopposed in 2024."
State Representative,Eleventh Suffolk,2023-01-04,"The Massachusetts Eleventh Suffolk State Representative District covers parts of Chelsea and Everett, with a diverse population that is predominantly Hispanic (65%). The current incumbent is Democratic Representative Judith A. Garcia of Chelsea, who was first elected in 2022, winning with 73% of the vote against Republican Todd B. Taylor."
State Representative,Eleventh Worcester,2023-01-04,"The Massachusetts Eleventh Worcester State Representative District comprises Shrewsbury and parts of Westborough, covering 26 square miles with a population of 42,109. The current incumbent is Republican Hannah E. Kane of Shrewsbury, who has held the seat since winning a special election in 2015."
State Representative,Fifteenth Essex,2023-01-04,"The Massachusetts Fifteenth Essex State Representative District is represented by Ryan M. Hamilton (D-Methuen), who has won uncontested races in 2022 and 2024. The district covers parts of Haverhill and Methuen, with a population of 46,016 that is 70% white and 30% minority."
State Representative,Fifteenth Middlesex,2023-01-04,"The Fifteenth Middlesex State Representative District in Massachusetts includes portions of Lexington, Winchester, and Woburn, with a population of 41,829. The district is currently represented by incumbent Democrat Michelle Ciccolo of Lexington, who has held the seat since 2018 and has run unopposed in recent elections."
State Representative,Fifteenth Norfolk,2023-01-04,"The Massachusetts Fifteenth Norfolk State Representative District is located entirely in Brookline, encompassing 13 precincts. The current incumbent is Democratic Representative Tommy Vitolo of Brookline, who has represented the district since 2018 and has run unopposed in all of his elections."
State Representative,Fifteenth Suffolk,2023-01-04,"The Massachusetts Fifteenth Suffolk State Representative District is a legislative district located in Boston, covering 19 precincts across multiple Boston neighborhoods. The current incumbent is Democratic Representative Samantha Montaño of Boston, who has served since 2022 after winning uncontested elections in both 2022 and 2024."
State Representative,Fifteenth Worcester,2023-01-04,"The Massachusetts Fifteenth Worcester State Representative District is located entirely within Worcester, including parts of several precincts. It is currently represented by Democratic incumbent Mary S. Keefe of Worcester, who has held the seat since 2012 and has run unopposed in most recent elections."
State Representative,Fifth Barnstable,2023-01-04,"The Massachusetts Fifth Barnstable State Representative District covers portions of Barnstable, Bourne, and Sandwich with a population of 41,150. The district is currently represented by Republican incumbent Steven G. Xiarhos of Barnstable, who won reelection in 2024 with 61% of the vote against Democratic challenger Owen G. Fletcher."
State Representative,Fifth Bristol,2023-01-04,"This Massachusetts Fifth Bristol State Representative District is currently represented by Patricia A. Haddad (D-Somerset), who was recently defeated by Justin Thurber (R-Somerset) in the 2024 election. The district includes parts of Dighton, Somerset, Swansea, and Taunton."
State Representative,Fifth Essex,2023-01-04,"The Massachusetts Fifth Essex State Representative District encompasses Essex, Gloucester, Manchester-by-the-Sea, and Rockport, with a population of approximately 44,000. It is currently represented by incumbent Ann-Margaret Ferrante, a Democrat from Gloucester who has held the seat since 2008 and most recently won reelection in 2024 with 67% of the vote against an unenrolled candidate."
State Representative,Fifth Hampden,2023-01-04,"The Fifth Hampden State Representative District in Massachusetts encompasses parts of Chicopee and Holyoke, covering 23 square miles with a population of 42,111. The current incumbent is Patricia A. Duffy, a Democrat from Holyoke, who has represented the district since 2020 after winning uncontested elections."
State Representative,Fifth Middlesex,2023-01-04,"The Massachusetts Fifth Middlesex State Representative District is currently represented by incumbent David Paul Linsky (D-Natick), who has held the seat since 1999. The district encompasses parts of Natick and precincts 2 and 3 of Wayland."
State Representative,Fifth Norfolk,2023-01-04,"The Fifth Norfolk State Representative District is located in Massachusetts and includes parts of Braintree and precincts 1 and 2 of Holbrook. The current incumbent is Mark J. Cusack, a Democrat from Braintree who has held this seat since 2010 and ran unopposed in the 2022 and 2024 elections."
State Representative,Fifth Plymouth,2023-01-04,"The Massachusetts Fifth Plymouth State Representative District is currently represented by Republican incumbent David F. Decoste of Norwell, who is running unopposed in the 2024 election. The district includes the towns of Hanover, Hanson, Norwell, and Rockland in Plymouth County."
State Representative,Fifth Suffolk,2023-01-04,"The Fifth Suffolk State Representative District is located in Boston, encompassing parts of neighborhoods including Dorchester and Roxbury. The district is currently represented by Democratic incumbent Christopher J. Worrell of Boston, who was first elected in 2022. The district is majority-minority with 92% of residents identifying as non-white, particularly Black (48%) and Hispanic (29%) populations."
State Representative,Fifth Worcester,2023-01-04,"The Fifth Worcester State Representative District is currently represented by Republican Donald R. Berthiaume, Jr. of Spencer, who has held the seat since 2014. The district encompasses several rural towns in central Massachusetts, including Barre, Brookfield, East Brookfield, Hardwick, Hubbardston, parts of Leicester and Spencer, New Braintree, North Brookfield, Oakham, part of Ware, and West Brookfield."
State Representative,First Barnstable,2023-01-04,"The Massachusetts First Barnstable State Representative District encompasses the towns of Brewster and Dennis, along with precincts 1, 2, 3, 4, 7, and 8 of Yarmouth on Cape Cod. The current incumbent is Democrat Christopher Richard Flanagan of Dennis, who was first elected in 2022 and won re-election in 2024 with 57% of the vote."
State Representative,First Berkshire,2023-01-04,"The Massachusetts First Berkshire State Representative District is currently represented by incumbent Democrat John P. Barrett, III of North Adams. The district encompasses several communities in northwestern Massachusetts including North Adams, Williamstown, Adams, and surrounding towns in Berkshire County."
State Representative,First Bristol,2023-01-04,"The Massachusetts First Bristol State Representative District is currently represented by Republican Fred Jay Barrows from Mansfield, who has held the seat since winning a 2006 special election. The district includes portions of Foxborough, Mansfield, and Norton in southeastern Massachusetts."
State Representative,First Essex,2023-01-04,"The Massachusetts First Essex State Representative District is currently represented by Dawne Frances Shand, a Democrat from Newburyport who was elected in 2022 and is running unopposed in 2024. The district includes parts of Amesbury along with the full municipalities of Merrimac, Newburyport, and Salisbury in northeastern Massachusetts."
State Representative,First Franklin,2023-01-04,"The Massachusetts First Franklin State Representative District is located in western Massachusetts, covering all or part of 18 cities/towns including portions of Greenfield and communities like Deerfield, Montague, and Sunderland. The current incumbent is Democratic Representative Natalie M. Blais of Deerfield, who has represented the district since 2018 and has run unopposed in all her elections."
State Representative,First Hampden,2023-01-04,"The Massachusetts First Hampden State Representative District encompasses Brimfield, Holland, Palmer, Sturbridge, Wales, parts of Ware (precincts B and C), and Warren, covering 197 square miles in western Massachusetts. The district is currently represented by Republican incumbent Todd M. Smola of Warren, who has held the seat since 2004 and was most recently reelected in 2022 without opposition."
State Representative,First Hampshire,2023-01-04,"This Massachusetts State Representative district, known as the First Hampshire District, includes Northampton and surrounding towns. The current incumbent is Lindsay N. Sabadosa (D-Northampton), who has represented the district since winning election in 2018 and has run unopposed in all her elections."
State Representative,First Middlesex,2023-01-04,"The Massachusetts First Middlesex State Representative District is currently represented by Democrat Margaret R. Scarsdale of Pepperell, who narrowly won the 2024 election with 51% of the vote. The district covers portions of Middlesex County including the towns of Ashby, Dunstable, parts of Groton, parts of Lunenburg, Pepperell, and Townsend."
State Representative,First Norfolk,2023-01-04,"The First Norfolk State Representative District in Massachusetts covers parts of Quincy and Randolph, comprising about 49,065 residents across 13 square miles. The district is currently represented by Bruce J. Ayers, a Democrat from Quincy who has been consistently reelected without opposition since 2006, with his most recent contested election being in 2004."
State Representative,First Plymouth,2023-01-04,"The Massachusetts First Plymouth State Representative District is represented by incumbent Michelle L. Badger (Democrat) who won the most recent election in 2024. The district is located in Plymouth, encompassing 13 precincts in the town, with a predominantly white population (91%) and covers approximately 93 square miles."
State Representative,First Suffolk,2023-01-04,"The First Suffolk State Representative District is a legislative district in Massachusetts covering parts of Boston, represented by incumbent Democrat Adrian C. Madaro. The district has a diverse population that is predominantly Hispanic (55%), with a total minority population of 66%."
State Representative,First Worcester,2023-01-04,"The Massachusetts First Worcester State Representative District is currently represented by Republican Kimberly N. Ferguson from Holden. The district includes the communities of Holden, Paxton, Princeton, Rutland, and Westminster in central Massachusetts, covering 161 square miles with a population of 45,656."
State Representative,Fourteenth Bristol,2023-01-04,"The Massachusetts Fourteenth Bristol State Representative District is currently represented by Democrat Adam J. Scanlon of North Attleborough, who was most recently reelected in 2024. The district encompasses portions of Attleboro, Mansfield, and North Attleborough with a population of approximately 42,608."
State Representative,Fourteenth Essex,2023-01-04,"The Massachusetts Fourteenth Essex State Representative District is currently represented by Adrianne Pusateri Ramos (D-North Andover), who was elected in 2022. The district covers parts of Amesbury, Boxford, and North Andover, as well as all of Groveland and West Newbury, with a total population of 46,221."
State Representative,Fourteenth Middlesex,2023-01-04,"The 14th Middlesex district is represented by incumbent Democrat Simon Cataldo of Concord. The district includes portions of Acton, all of Carlisle, parts of Chelmsford, and parts of Concord, covering an area of 53 square miles in Middlesex County."
State Representative,Fourteenth Norfolk,2023-01-04,"The Massachusetts Fourteenth Norfolk State Representative District is represented by incumbent Democrat Alice Hanlon Peisch of Wellesley. The district includes parts of Lincoln, Wellesley, and Weston, covering about 34 square miles with a population of approximately 44,653 people."
State Representative,Fourteenth Suffolk,2023-01-04,"The Massachusetts Fourteenth Suffolk State Representative District is currently represented by Rob Consalvo (D-Boston), who has held the seat since 2020. The district is located entirely within Boston and has a diverse population that is predominantly minority (67%), with significant Black (37%) and Hispanic (24%) communities."
State Representative,Fourteenth Worcester,2023-01-04,"The Fourteenth Worcester district includes West Boylston and several precincts in Worcester. The district is currently represented by Democratic incumbent James J. O'Day of West Boylston, who has held the seat since 2007 and has run unopposed in most recent elections."
State Representative,Fourth Barnstable,2023-01-04,"The Massachusetts Fourth Barnstable State Representative District covers seven Cape Cod towns including Chatham, Eastham, Harwich, Orleans, Provincetown, Truro, and Wellfleet. The current incumbent is Democrat Sarah K. Peake of Provincetown, who has held the seat since 2007 and has run unopposed in most recent elections."
State Representative,Fourth Bristol,2023-01-04,"The Massachusetts Fourth Bristol State Representative District covers Norton (precincts 1, 2), Rehoboth, Seekonk, and Swansea (precincts 4, 5), with a predominantly white (91%) population of 41,529. The incumbent is Republican Steven S. Howitt of Seekonk, who has represented the district since 2010 when he defeated Democrat Steven J. D'Amico."
State Representative,Fourth Essex,2023-01-04,"The Massachusetts Fourth Essex State Representative District includes parts of Lawrence and Methuen, with a diverse population that is 75% minority and 69% Hispanic. The current incumbent is Democrat Estela A. Reyes of Lawrence, who was elected in 2022 and ran unopposed in the most recent election in 2024."
State Representative,Fourth Hampden,2023-01-04,"This is the Massachusetts Fourth Hampden State Representative District, currently represented by Republican incumbent Kelly W. Pease of Westfield. The district primarily consists of Westfield and Southampton in western Massachusetts."
State Representative,Fourth Middlesex,2023-01-04,"The Massachusetts Fourth Middlesex State Representative District is currently represented by incumbent Democratic Representative Danielle W. Gregoire of Marlborough. The district encompasses parts of Framingham and Marlborough, with a population of approximately 42,327 people."
State Representative,Fourth Norfolk,2023-01-04,"The district is currently represented by incumbent James Michael Murphy, a Democrat from Weymouth. The Fourth Norfolk district consists entirely of Weymouth precincts and has been represented by Murphy since a special election in 2001."
State Representative,Fourth Plymouth,2023-01-04,"The Fourth Plymouth State Representative District in Massachusetts is represented by incumbent Patrick Joseph Kearney (D-Scituate). The district covers parts of Marshfield, Norwell, and Scituate on Massachusetts' South Shore region."
State Representative,Fourth Suffolk,2023-01-04,"The Massachusetts Fourth Suffolk State Representative District is currently represented by incumbent Democratic representative David Biele of Boston. The district is located entirely within Boston, encompassing parts of South Boston and surrounding neighborhoods."
State Representative,Fourth Worcester,2023-01-04,"The Massachusetts Fourth Worcester State Representative District encompasses the city of Leominster. The district is currently represented by incumbent Democrat Natalie Higgins of Leominster, who has held the seat since 2016 and most recently won reelection in 2024 with 58% of the vote against Republican challenger Salvatore Perla."
State Representative,Nineteenth Middlesex,2023-01-04,"The Massachusetts Nineteenth Middlesex State Representative District encompasses parts of Tewksbury and Wilmington, covering 27 square miles with a population of 40,440. The district is currently represented by incumbent Democratic Representative David Allen Robertson of Wilmington, who won reelection in 2024 with 53% of the vote against Republican and third-party challengers."
State Representative,Nineteenth Suffolk,2023-01-04,"The Nineteenth Suffolk State Representative District of Massachusetts includes parts of Revere (various precincts) and Winthrop. The current incumbent is Democratic Representative Jeffrey Rosario Turco of Winthrop, who has held the seat since winning a special election in March 2021, following longtime representative Robert DeLeo's departure."
State Representative,Nineteenth Worcester,2023-01-04,"The Nineteenth Worcester State Representative District is currently represented by Kate Donaghue (D-Westborough), who won reelection in 2024 with 78% of the vote. The district includes portions of Framingham, Northborough, Southborough, and Westborough, covering 47 square miles with a population of 41,148."
State Representative,Ninth Bristol,2023-01-04,"The Massachusetts Ninth Bristol State Representative District encompasses parts of Dartmouth and New Bedford, with a population of 41,194. The district is currently represented by incumbent Christopher M. Markey, a Democrat from Dartmouth, who has held the seat since 2010 and has run unopposed in most recent elections."
State Representative,Ninth Essex,2023-01-04,"The Massachusetts Ninth Essex State Representative District is currently represented by Republican Donald H. Wong of Saugus, who has held the seat since 2010. The district encompasses parts of Lynn, Saugus, and Wakefield, covering 16 square miles with a population of approximately 44,901 residents."
State Representative,Ninth Hampden,2023-01-04,"The Massachusetts Ninth Hampden State Representative District is located entirely within Springfield, comprising various precincts across the city. The current incumbent is Orlando Ramos, a Democrat from Springfield, who has held the seat since 2020 and was most recently reelected in 2022 with 100% of the vote."
State Representative,Ninth Middlesex,2023-01-04,"This district is represented by incumbent Thomas M. Stanley (Democrat) from Waltham. The Ninth Middlesex State Representative District is located entirely within Waltham, covering 14 precincts in the city."
State Representative,Ninth Norfolk,2023-01-04,"This Massachusetts Ninth Norfolk State Representative District is currently represented by Republican incumbent Marcus S. Vaughn of Wrentham, who won the seat in 2022 and was re-elected in 2024. The district includes parts of Medfield and Walpole, as well as Millis, Norfolk, Plainville, and Wrentham."
State Representative,Ninth Plymouth,2023-01-04,"The Massachusetts Ninth Plymouth State Representative District encompasses parts of Brockton, East Bridgewater, Easton, and West Bridgewater, with a population of 46,626. The current representative is Democrat Bridget M. Plouffe of Brockton, who was elected in 2024, succeeding longtime Democratic representative Gerard J. Cassidy."
State Representative,Ninth Suffolk,2023-01-04,"The Massachusetts Ninth Suffolk State Representative District is currently represented by Democratic incumbent John Francis Moran, who won a special election in 2023 with 100% of the vote. The district is located entirely in Boston, encompassing parts of 18 precincts within the city, and has a diverse population with 56% minority residents and 44% white residents."
State Representative,Ninth Worcester,2023-01-04,"The Ninth Worcester State Representative District is currently represented by Republican incumbent David Kent Muradian, Jr. of Grafton. The district encompasses the towns of Grafton, Northbridge, and Upton in central Massachusetts, covering 63 square miles with a population of 44,010."
State Representative,Second Barnstable,2023-01-04,"The Second Barnstable district is represented by incumbent Democrat Kip A. Diggs of Barnstable. The district includes most of Barnstable and portions of Yarmouth on Cape Cod, covering an area of 46 square miles with a population of approximately 44,853 residents."
State Representative,Second Berkshire,2023-01-04,"The Massachusetts Second Berkshire State Representative District is represented by incumbent Democrat Tricia Farley-Bouvier of Pittsfield. The district encompasses portions of Pittsfield and has a population of 43,730."
State Representative,Second Bristol,2023-01-04,"The Second Bristol State Representative District is located entirely in the city of Attleboro and is currently represented by Democrat James K. Hawkins, who has held the seat since winning a special election in April 2018."
State Representative,Second Essex,2023-01-04,"The Second Essex State Representative District in Massachusetts is currently represented by Kristin E. Kassner, a Democrat from Hamilton, who won a close race in 2022 and was reelected in 2024. The district encompasses Georgetown, Hamilton, Ipswich, Newbury, Rowley, and part of Topsfield, covering 112 square miles with a population of 46,046."
State Representative,Second Franklin,2023-01-04,"The Massachusetts Second Franklin State Representative District is currently represented by Susannah M. Whipps, an Independent from Athol who has held the seat since 2015. The district encompasses parts of central/north-central Massachusetts including the towns of Athol, Erving, Gill, parts of Greenfield, Northfield, Orange, Phillipston, Royalston, Warwick, and a precinct of Winchendon."
State Representative,Second Hampden,2023-01-04,"The Massachusetts Second Hampden State Representative District is represented by incumbent Brian M. Ashe (D-Longmeadow), who has held the seat since 2008. The district includes parts of East Longmeadow, Hampden, Longmeadow, Monson, and Springfield, covering approximately 72 square miles in western Massachusetts."
State Representative,Second Hampshire,2023-01-04,"The Massachusetts Second Hampshire State Representative District includes Easthampton, parts of Granby, Hadley, and South Hadley, with a population of 41,674. The current incumbent is Democrat Homar Gomez of Easthampton, who will represent the district following the 2024 election."
State Representative,Second Middlesex,2023-01-04,"This state legislative district encompasses parts of Chelmsford and all of Littleton and Westford. It is currently represented by Democratic incumbent James Arciero of Westford, who has held the seat since 2008."
State Representative,Second Norfolk,2023-01-04,"The Massachusetts Second Norfolk State Representative District is located entirely within the city of Quincy, encompassing 14 precincts. The district is currently represented by Democratic incumbent Tackey Chan, who has held the seat since 2010 and won reelection in 2024 with 70% of the vote."
State Representative,Second Plymouth,2023-01-04,"The Massachusetts Second Plymouth State Representative District is currently represented by Republican John Robert Gaskey from Carver, who won election in 2024 succeeding long-time incumbent Susan Williams Gifford. The district includes the towns of Carver and Wareham, plus parts of Middleborough, with a predominantly white (86%) population of approximately 42,045 residents."
State Representative,Second Suffolk,2023-01-04,"The Massachusetts Second Suffolk State Representative District is currently represented by incumbent Daniel J. Ryan (D-Boston), who has held the seat since winning a special election in 2014 and has run unopposed in subsequent elections. The district includes portions of Boston, Cambridge, and Everett, with a population of approximately 42,463 residents."
State Representative,Second Worcester,2023-01-04,"The Second Worcester State Representative District in Massachusetts is represented by incumbent Democrat Jonathan D. Zlotnik of Gardner, who has held the seat since 2013. The district includes the cities/towns of Ashburnham, Gardner, Templeton, and parts of Winchendon (precincts 2 and 3), covering a mostly rural area in central Massachusetts."
State Representative,Seventeenth Essex,2023-01-04,"The 17th Essex State Representative District in Massachusetts includes parts of Andover and Lawrence. It has been represented by incumbent Democratic Representative Frank A. Moran of Lawrence since 2012, who has run unopposed in the last several elections."
State Representative,Seventeenth Middlesex,2023-01-04,"The Seventeenth Middlesex State Representative District primarily covers portions of Lowell and one precinct of Tewksbury, with a population of 45,189. The current incumbent is Democratic Representative Vanna Howard of Lowell, who has held the seat since 2020 and was most recently reelected in 2024 with 78% of the vote."
State Representative,Seventeenth Suffolk,2023-01-04,"The Massachusetts Seventeenth Suffolk State Representative District is currently represented by Kevin G. Honan, a Democrat from Boston who has held the seat unchallenged since at least 1994. The district encompasses parts of Boston and Brookline, covering approximately 2 square miles with a population of 42,369 residents."
State Representative,Seventeenth Worcester,2023-01-04,"The 17th Worcester State Representative District in Massachusetts includes parts of Leicester and Worcester. It is currently represented by Democrat David Henry Argosky LeBoeuf from Worcester, who has held the seat since 2018 and ran unopposed in the 2024 election."
State Representative,Seventh Bristol,2023-01-04,"The Massachusetts Seventh Bristol State Representative District is located in Fall River and is currently represented by Democrat Alan Silvia. The district has a population of about 40,266 with 35% minority residents and 21% living below poverty level."
State Representative,Seventh Essex,2023-01-04,"The Massachusetts Seventh Essex State Representative District comprises the city of Salem, with a population of approximately 44,000. Democratic incumbent Manny Cruz currently represents the district, having been elected in 2022 after Paul F. Tucker's tenure from 2014-2022."
State Representative,Seventh Hampden,2023-01-04,"The Massachusetts Seventh Hampden State Representative District is currently represented by Democrat Aaron L. Saunders of Belchertown, who is running unopposed in the 2024 election. The district includes Belchertown, Ludlow, New Salem, Pelham, Petersham, Shutesbury, and Wendell, covering 296 square miles with a population of approximately 42,313."
State Representative,Seventh Middlesex,2023-01-04,"The Seventh Middlesex State Representative District is currently represented by Democrat Jack Patrick Lewis of Framingham. The district covers parts of Framingham and Ashland, with a population of about 43,673 people across 23 square miles."
State Representative,Seventh Norfolk,2023-01-04,"The Massachusetts Seventh Norfolk State Representative District covers parts of Milton and Randolph, with a population of 42,319. The district is currently represented by Richard Gerard Wells, Jr. (D-Milton), who won the 2024 election with 65% of the vote against Clinton Graham."
State Representative,Seventh Plymouth,2023-01-04,"The Massachusetts Seventh Plymouth State Representative District is currently represented by Alyson M. Sullivan-Almeida (Republican) from Abington. The district covers the towns of Abington, Whitman, and parts of East Bridgewater (precincts 1, 2, and 3)."
State Representative,Seventh Suffolk,2023-01-04,"The Massachusetts Seventh Suffolk State Representative District covers several precincts in Boston, encompassing approximately 2 square miles with a population of 39,463. The district is currently represented by incumbent Chynah Tyler (D-Boston), who has won every election since 2016, with her predecessor Gloria L. Fox (D-Boston) having represented the district from at least 1990 to 2014."
State Representative,Seventh Worcester,2023-01-04,"This district covers parts of Auburn, Charlton, Leicester, Millbury, and Oxford. It has a population of 43,511 and is predominantly white (89%). The current incumbent is Paul K. Frost, a Republican from Auburn, who has held this seat since 1997 and has been consistently re-elected, most recently in 2022 with 75% of the vote against Terry Burke Dotson."
State Representative,Sixteenth Essex,2023-01-04,"This Massachusetts Sixteenth Essex State Representative District is primarily located in the cities of Lawrence and Methuen. The current incumbent is Francisco E. Paulino, a Democrat from Methuen, who was elected in 2022 and is running for reelection in 2024."
